Filtrer,Valeurs sélectionnées,,,
Nom de l’abonnement,Microsoft Azure Sponsorship (422a9b67-fada-4b84-9004-70a0a160bab4)
ID d’abonnement,422a9b67-fada-4b84-9004-70a0a160bab4
Liste déroulante des fournisseurs,Azure Container Instances
Liste déroulante des régions,"Australia Central, Australia Central 2, Australia East, Australia Southeast, Austria East, Brazil South, Brazil Southeast, Brazil US, Canada Central, Canada East, Central India, Central US, Central US EUAP, Chile Central, East Asia, East US, East US 2, East US 2 EUAP, East US STG, France Central, France South, Germany North, Germany West Central, Indonesia Central, Israel Central, Italy North, Japan East, Japan West, Jio India Central, Jio India West, Korea Central, Korea South, Malaysia West, Mexico Central, New Zealand North, North Central US, North Europe, Norway East, Norway West, Poland Central, Qatar Central, South Africa North, South Africa West, South Central US, South Central US STG, South India, Southeast Asia, Spain Central, Sweden Central, Switzerland North, Switzerland West, UAE Central, UAE North, UK South, UK West, West Central US, West Europe, West India, West US, West US 2, West US 3"
Afficher par utilisation,Tout afficher
Date et heure de génération du rapport,"Sept 24, 2025 21:49:24"

Quota,Région,Utilisation,Limite actuelle,Utilisation%
Groupes de conteneurs,Australia Central,0,100,0%
Standard Cores,Australia Central,0,500,0%
Standard Spot Cores,Australia Central,0,0,0%
Standard K80 Cores,Australia Central,0,48,0%
Standard P100 Cores,Australia Central,0,0,0%
Standard V100 Cores,Australia Central,0,0,0%
Dedicated Container Groups,Australia Central,0,0,0%
Dedicated Cores,Australia Central,0,0,0%
Dedicated Container Groups,Australia Central,0,100,0%
Dedicated Cores,Australia Central,0,500,0%
Groupes de conteneurs,Australia Central 2,0,100,0%
Standard Cores,Australia Central 2,0,500,0%
Standard Spot Cores,Australia Central 2,0,0,0%
Standard K80 Cores,Australia Central 2,0,48,0%
Standard P100 Cores,Australia Central 2,0,0,0%
Standard V100 Cores,Australia Central 2,0,0,0%
Dedicated Container Groups,Australia Central 2,0,0,0%
Dedicated Cores,Australia Central 2,0,0,0%
Dedicated Container Groups,Australia Central 2,0,100,0%
Dedicated Cores,Australia Central 2,0,500,0%
Groupes de conteneurs,Australia East,0,100,0%
Standard Cores,Australia East,0,500,0%
Standard Spot Cores,Australia East,0,0,0%
Standard K80 Cores,Australia East,0,48,0%
Standard P100 Cores,Australia East,0,0,0%
Standard V100 Cores,Australia East,0,0,0%
Dedicated Container Groups,Australia East,0,0,0%
Dedicated Cores,Australia East,0,0,0%
Dedicated Container Groups,Australia East,0,100,0%
Dedicated Cores,Australia East,0,500,0%
Groupes de conteneurs,Australia Southeast,0,100,0%
Standard Cores,Australia Southeast,0,500,0%
Standard Spot Cores,Australia Southeast,0,0,0%
Standard K80 Cores,Australia Southeast,0,48,0%
Standard P100 Cores,Australia Southeast,0,0,0%
Standard V100 Cores,Australia Southeast,0,0,0%
Dedicated Container Groups,Australia Southeast,0,0,0%
Dedicated Cores,Australia Southeast,0,0,0%
Dedicated Container Groups,Australia Southeast,0,100,0%
Dedicated Cores,Australia Southeast,0,500,0%
Groupes de conteneurs,Austria East,0,100,0%
Standard Cores,Austria East,0,500,0%
Standard Spot Cores,Austria East,0,0,0%
Standard K80 Cores,Austria East,0,48,0%
Standard P100 Cores,Austria East,0,0,0%
Standard V100 Cores,Austria East,0,0,0%
Dedicated Container Groups,Austria East,0,0,0%
Dedicated Cores,Austria East,0,0,0%
Dedicated Container Groups,Austria East,0,100,0%
Dedicated Cores,Austria East,0,500,0%
Groupes de conteneurs,Brazil South,0,100,0%
Standard Cores,Brazil South,0,500,0%
Standard Spot Cores,Brazil South,0,0,0%
Standard K80 Cores,Brazil South,0,48,0%
Standard P100 Cores,Brazil South,0,0,0%
Standard V100 Cores,Brazil South,0,0,0%
Dedicated Container Groups,Brazil South,0,0,0%
Dedicated Cores,Brazil South,0,0,0%
Dedicated Container Groups,Brazil South,0,100,0%
Dedicated Cores,Brazil South,0,500,0%
Groupes de conteneurs,Brazil Southeast,0,100,0%
Standard Cores,Brazil Southeast,0,500,0%
Standard Spot Cores,Brazil Southeast,0,0,0%
Standard K80 Cores,Brazil Southeast,0,48,0%
Standard P100 Cores,Brazil Southeast,0,0,0%
Standard V100 Cores,Brazil Southeast,0,0,0%
Dedicated Container Groups,Brazil Southeast,0,0,0%
Dedicated Cores,Brazil Southeast,0,0,0%
Dedicated Container Groups,Brazil Southeast,0,100,0%
Dedicated Cores,Brazil Southeast,0,500,0%
Groupes de conteneurs,Canada Central,0,100,0%
Standard Cores,Canada Central,0,500,0%
Standard Spot Cores,Canada Central,0,0,0%
Standard K80 Cores,Canada Central,0,48,0%
Standard P100 Cores,Canada Central,0,0,0%
Standard V100 Cores,Canada Central,0,0,0%
Dedicated Container Groups,Canada Central,0,0,0%
Dedicated Cores,Canada Central,0,0,0%
Dedicated Container Groups,Canada Central,0,100,0%
Dedicated Cores,Canada Central,0,500,0%
Groupes de conteneurs,Canada East,0,100,0%
Standard Cores,Canada East,0,500,0%
Standard Spot Cores,Canada East,0,0,0%
Standard K80 Cores,Canada East,0,48,0%
Standard P100 Cores,Canada East,0,0,0%
Standard V100 Cores,Canada East,0,0,0%
Dedicated Container Groups,Canada East,0,0,0%
Dedicated Cores,Canada East,0,0,0%
Dedicated Container Groups,Canada East,0,100,0%
Dedicated Cores,Canada East,0,500,0%
Groupes de conteneurs,Central India,0,100,0%
Standard Cores,Central India,0,500,0%
Standard Spot Cores,Central India,0,0,0%
Standard K80 Cores,Central India,0,48,0%
Standard P100 Cores,Central India,0,0,0%
Standard V100 Cores,Central India,0,0,0%
Dedicated Container Groups,Central India,0,0,0%
Dedicated Cores,Central India,0,0,0%
Dedicated Container Groups,Central India,0,100,0%
Dedicated Cores,Central India,0,500,0%
Groupes de conteneurs,Central US,0,100,0%
Standard Cores,Central US,0,500,0%
Standard Spot Cores,Central US,0,0,0%
Standard K80 Cores,Central US,0,48,0%
Standard P100 Cores,Central US,0,0,0%
Standard V100 Cores,Central US,0,0,0%
Dedicated Container Groups,Central US,0,0,0%
Dedicated Cores,Central US,0,0,0%
Dedicated Container Groups,Central US,0,100,0%
Dedicated Cores,Central US,0,500,0%
Groupes de conteneurs,Chile Central,0,100,0%
Standard Cores,Chile Central,0,500,0%
Standard Spot Cores,Chile Central,0,0,0%
Standard K80 Cores,Chile Central,0,48,0%
Standard P100 Cores,Chile Central,0,0,0%
Standard V100 Cores,Chile Central,0,0,0%
